RespondentID,AgeGroup,Gender,Income,Task,Alternative,Chosen,Brand,Price,Camera,Storage
1,18-24,Male,"50,001-100,000",1,1,0,Apple,$899,Triple,256GB
1,18-24,Male,"50,001-100,000",1,2,1,Apple,$899,Triple,256GB
1,18-24,Male,"50,001-100,000",2,1,1,Apple,$899,Dual,256GB
1,18-24,Male,"50,001-100,000",2,2,0,Apple,$699,Triple,256GB
1,18-24,Male,"50,001-100,000",3,1,1,Apple,$699,Triple,128GB
1,18-24,Male,"50,001-100,000",3,2,0,Apple,$699,Dual,128GB
1,18-24,Male,"50,001-100,000",4,1,0,Samsung,$899,Triple,128GB
1,18-24,Male,"50,001-100,000",4,2,1,Apple,$699,Dual,128GB
2,45-54,Male,"50,001-100,000",1,1,0,Samsung,$899,Triple,256GB
2,45-54,Male,"50,001-100,000",1,2,1,Apple,$699,Dual,256GB
2,45-54,Male,"50,001-100,000",2,1,0,Apple,$899,Triple,256GB
2,45-54,Male,"50,001-100,000",2,2,1,Apple,$899,Triple,128GB
2,45-54,Male,"50,001-100,000",3,1,0,Apple,$899,Dual,128GB
2,45-54,Male,"50,001-100,000",3,2,1,Apple,$899,Dual,128GB
2,45-54,Male,"50,001-100,000",4,1,1,Apple,$699,Triple,128GB
2,45-54,Male,"50,001-100,000",4,2,0,Apple,$699,Triple,128GB
3,35-44,Male,"150,001+",1,1,1,Apple,$699,Triple,128GB
3,35-44,Male,"150,001+",1,2,0,Samsung,$899,Dual,256GB
3,35-44,Male,"150,001+",2,1,0,Samsung,$699,Dual,256GB
3,35-44,Male,"150,001+",2,2,1,Apple,$699,Triple,128GB
3,35-44,Male,"150,001+",3,1,0,Apple,$899,Dual,128GB
3,35-44,Male,"150,001+",3,2,1,Apple,$699,Dual,128GB
3,35-44,Male,"150,001+",4,1,0,Samsung,$899,Triple,128GB
3,35-44,Male,"150,001+",4,2,1,Apple,$699,Dual,256GB
4,25-34,Male,"100,001-150,000",1,1,1,Apple,$699,Dual,128GB
4,25-34,Male,"100,001-150,000",1,2,0,Apple,$899,Dual,128GB
4,25-34,Male,"100,001-150,000",2,1,1,Samsung,$899,Triple,256GB
4,25-34,Male,"100,001-150,000",2,2,0,Samsung,$899,Dual,128GB
4,25-34,Male,"100,001-150,000",3,1,0,Apple,$699,Triple,128GB
4,25-34,Male,"100,001-150,000",3,2,1,Samsung,$899,Dual,128GB
4,25-34,Male,"100,001-150,000",4,1,0,Samsung,$899,Dual,256GB
4,25-34,Male,"100,001-150,000",4,2,1,Samsung,$699,Dual,128GB
